name,lga,state_id,state,postcode,latitude,longitude,map,type,id
Bakers Beach,Latrobe,TAS,Tasmania,7307,-41.16122,146.56940,8215,Locality,66ec8a6ee069300ef927e1a31d7f39bd
Bakers Bend,Murweh,QLD,Queensland,4470,-26.73344,146.08116,8144,Locality,b4606a392d70f82b7841c90aef9833b9
Bakers Creek,Mackay,QLD,Queensland,4740,-21.22124,149.14750,8755,Town,e9d533e493a0e034f4826342e9b70eec
Bakers Creek,Nambucca,NSW,New South Wales,2447,-30.81910,152.71930,9436,Locality,bcfb730b603f1caa33ee9066e0d13390
Bakers Creek,Uralla,NSW,New South Wales,2358,-30.32070,150.99790,9037,Locality,3e1a24f3a7decc3a01740079c9296951
Bakers Creek,Gloucester,NSW,New South Wales,2422,-31.94850,152.10120,9334,Locality,82318d6b07be6f7a92ec86d93111e3df
Bakers Hill,Northam,WA,Western Australia,6562,-31.74891,116.45664,2134,Town,dc6e530fa9f8dab8ab3ae7be8af04233
Bakers Swamp,Wellington,NSW,New South Wales,2820,-32.78100,148.91530,8632,Locality,41ddbc15f0602efd62869477b34b3098
Bakery Hill,Ballarat,VIC,Victoria,3350,-37.56327,143.86586,7622,Suburb,5b4c9a4b666bbf0b9107d44949ad484b
Bakewell,Palmerston,NT,Northern Territory,0832,-12.49670,130.99310,5073,Suburb,7ab607df0d62717ce43e44e202c22500
Baking Board,Western Downs,QLD,Queensland,4413,-26.69833,150.56444,9044,Locality,dbdc8f485fab3a64692a510b95a339b0
Balaclava,Port Phillip,VIC,Victoria,3183,-37.87069,144.99485,7822,Suburb,d019462c3ed9369762ed345b97d9cdfd
Balaclava,Wingecarribee,NSW,New South Wales,2575,-34.44070,150.48070,8929,Locality,2cf9907c19500ee0303e41b8c211c653
Baladjie,Yilgarn,WA,Western Australia,6484,-30.98429,118.93870,2636,Locality,e1da431cededd4939aead3f8d5ea3038
Balagundi,Kalgoorlie/Boulder,WA,Western Australia,6429,-30.72731,121.68200,3236,Locality,cba03f885ac305e4b95d110221b25f70
Balaklava,Wakefield,SA,South Australia,5461,-34.14542,138.41148,6529,Town,8d0171076988ce49b0ab1e6c85eb13d4
Balala,Uralla,NSW,New South Wales,2358,-30.61320,151.33510,9136,Locality,1f67741e6e4e35a303f910ff3124da48
Balbarrup,Manjimup,WA,Western Australia,6258,-34.19417,116.28220,2129,Locality,6bf3d5d73d44ce99df987a25a774b4d1
Balberra,Mackay,QLD,Queensland,4740,-21.29861,149.14111,8755,Locality,71df9ebcb76e72fcb3451daefa8923e5
Balcatta,Stirling,WA,Western Australia,6021,-31.87628,115.81730,2034,Suburb,bc75e06ab298cafb175830763d229bab
Balcolyn,Lake Macquarie,NSW,New South Wales,2264,-33.09470,151.55200,9231,Suburb,c15a221d5c05e30825ed3688c271c01a
